Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Chris Cooley,WAS,TE,28,16,16,126,77,0,0,0,0,0,0,849,3,179.9,0,3,1
Johnny Knox,CHI,WR,24,16,16,100,51,0,0,0,2,0,1,960,5,175.2,0,1,1
Anquan Boldin,BAL,WR,30,16,16,109,64,-6,0,1,2,0,2,837,7,187.7,0,1,1
Tony Gonzalez,ATL,TE,34,16,16,108,70,0,0,0,0,0,0,656,6,171.6,0,0,
Derrick Mason,BAL,WR,36,16,15,100,61,0,0,0,0,0,0,802,7,183.2,0,0,
Mike Thomas,JAX,WR,23,16,11,102,66,0,0,0,114,0,12,820,4,187.4,0,3,1
Lance Moore,NOR,WR,27,16,1,94,66,0,0,0,0,0,0,763,8,186.3,0,2,2
Dustin Keller,NYJ,TE,26,16,13,100,55,0,0,0,0,0,0,687,5,153.7,0,0,
Jahvid Best,DET,RB,21,16,9,80,58,0,0,1,555,4,171,487,2,196.2,0,1,1
Brandon Jacobs,NYG,RB,28,16,5,13,7,0,0,0,823,9,147,59,0,145.2,0,2,2
Zach Miller,OAK,TE,25,15,15,92,60,0,0,0,0,0,0,685,5,158.5,0,1,
Joe Flacco,BAL,QB,25,16,16,0,0,3622,25,489,84,1,43,0,0,231.3,10,9,4
Aaron Hernandez,NWE,TE,21,14,7,64,45,0,0,0,47,0,3,563,6,142.0,0,0,
Matt Cassel,KAN,QB,28,15,15,0,0,3116,27,450,125,0,33,0,0,229.1,7,3,1
Eli Manning,NYG,QB,29,16,16,0,0,4002,31,539,70,0,32,0,0,229.1,25,7,6
Deion Branch,2TM,WR,31,15,12,92,61,0,0,0,0,0,0,818,6,178.8,0,1,
Marquis Johnson,STL,,22,2,0,,0,0,0,0,0,0,0,0,0,,0,,
J.P. Foschi,CIN,,28,2,1,,0,0,0,0,0,0,0,0,0,,0,,
Carson Palmer,CIN,QB,31,16,16,0,0,3970,26,586,50,0,32,0,0,223.8,20,7,3
David Garrard,JAX,QB,32,14,14,0,0,2734,23,366,279,5,66,0,0,221.3,15,11,4
Jay Cutler,CHI,QB,27,15,15,0,0,3274,23,432,232,1,50,0,0,210.2,16,10,6
Ben Roethlisberger,PIT,QB,28,12,12,0,0,3200,17,389,176,2,34,0,0,209.6,5,7,3
Kyle Orton,DEN,QB,28,13,13,0,0,3653,20,498,98,0,22,0,0,207.9,9,4,5
Mark Sanchez,NYJ,QB,24,16,16,0,0,3291,17,507,105,3,30,0,0,202.1,13,9,1
Ryan Fitzpatrick,BUF,QB,28,13,13,0,0,3000,23,441,269,0,40,0,0,198.9,15,8,5
Sam Bradford,STL,QB,23,16,16,0,0,3512,18,590,63,1,27,0,0,190.8,15,7,2
Donovan McNabb,WAS,QB,34,13,13,0,0,3377,14,472,151,0,29,0,0,174.2,15,10,1
Shaun Hill,DET,QB,30,11,10,0,0,2686,16,416,123,0,22,0,0,159.7,12,3,1
Jason Campbell,OAK,QB,29,13,12,0,0,2387,13,329,222,1,47,0,0,157.7,8,9,1
Jon Kitna,DAL,QB,38,10,9,0,0,2365,16,318,147,1,31,0,0,157.3,12,7,1
Chad Henne,MIA,QB,25,15,14,0,0,3301,15,490,52,0,35,0,0,155.2,19,5,2
Matt Hasselbeck,SEA,QB,35,14,14,0,0,3001,12,444,60,3,23,0,0,148.0,17,7,5
Thomas Jones,KAN,RB,32,16,10,20,14,0,0,0,896,6,245,122,0,149.8,0,3,1
Felix Jones,DAL,RB,23,16,7,52,48,0,0,0,800,1,185,450,1,183.0,0,2,1
Alex Smith,SFO,QB,26,11,10,0,0,2370,14,342,60,0,18,0,0,134.8,10,4,2
Michael Bush,OAK,RB,26,14,3,24,18,0,0,0,655,8,158,194,0,150.9,0,0,
LeGarrette Blount,TAM,RB,24,13,7,7,5,0,0,0,1007,6,201,14,0,137.1,0,4,3
Brandon Jackson,GNB,RB,25,16,13,50,43,0,0,0,703,3,190,342,1,171.5,0,1,
Ronnie Brown,MIA,RB,29,16,16,43,33,0,0,2,734,5,200,242,0,156.6,0,3,2
Ryan Torain,WAS,RB,24,10,8,27,18,0,0,0,742,4,164,125,2,138.7,0,2,1
Brandon Marshall,MIA,WR,26,14,14,146,86,0,0,1,3,0,2,1014,3,203.7,0,2,1
Ryan Mathews,SDG,RB,23,12,9,26,22,0,0,0,678,7,158,145,0,140.3,0,5,3
Marshawn Lynch,2TM,RB,24,16,14,26,22,0,0,0,737,6,202,145,0,138.2,0,4,4
Pierre Garcon,IND,WR,24,14,14,119,67,0,0,0,6,0,2,784,6,182.0,0,0,
Austin Collie,IND,WR,25,9,6,71,58,0,0,0,0,0,0,649,8,168.9,0,1,1
Davone Bess,MIA,WR,25,16,8,125,79,0,0,0,-3,0,2,820,5,188.7,0,3,1
Michael Crabtree,SFO,WR,23,16,15,101,55,0,0,0,0,0,0,741,6,165.1,0,0,
Kerry Collins,TEN,QB,38,10,7,0,0,1823,14,278,1,0,10,0,0,109.0,8,5,3
Tim Hightower,ARI,RB,24,16,13,42,21,0,0,0,736,5,153,136,0,130.2,0,5,4
Malcom Floyd,SDG,WR,29,11,9,77,37,0,0,0,0,0,0,717,6,144.7,0,1,
Santonio Holmes,NYJ,WR,26,12,10,96,52,0,0,0,17,0,2,746,6,160.3,0,2,2
Chad Johnson,CIN,WR,32,14,12,126,67,0,0,1,0,0,0,831,4,174.1,0,0,
Nate Washington,TEN,WR,27,16,16,94,42,0,0,0,-8,0,1,687,6,145.9,0,0,
Anthony Armstrong,WAS,WR,27,15,11,86,44,0,0,0,0,0,0,871,3,147.1,0,1,1
Nate Burleson,DET,WR,29,14,14,86,55,0,0,0,81,0,7,625,6,157.6,0,2,2
Hines Ward,PIT,WR,34,16,15,95,59,0,0,0,-2,0,1,755,5,162.3,0,1,1
Dez Bryant,DAL,WR,22,12,2,73,45,0,0,0,0,0,1,561,6,147.1,0,1,1
Jacoby Ford,OAK,WR,23,16,9,54,25,0,0,0,155,2,10,470,2,125.5,0,3,2
Jabar Gaffney,DEN,WR,30,16,11,112,65,0,0,0,0,0,0,875,2,164.5,0,1,
Chris Ivory,NOR,RB,22,12,4,1,1,0,0,0,716,5,137,17,0,100.3,0,4,2
Tony Romo,DAL,QB,30,6,6,0,0,1605,11,213,38,0,6,11,0,99.1,7,0,
Tim Tebow,DEN,QB,23,9,3,0,0,654,5,82,227,6,43,0,0,98.9,3,1,
Brett Favre,MIN,QB,41,13,13,0,0,2509,11,358,8,0,17,0,0,97.2,19,7,5
Shonn Greene,NYJ,RB,25,15,2,24,16,0,0,0,766,2,185,120,0,112.6,0,3,2
Jonathan Stewart,CAR,RB,23,14,7,14,8,0,0,0,770,2,178,103,1,105.3,0,4,4
James Jones,GNB,WR,26,16,3,87,50,0,0,0,0,0,0,679,5,145.9,0,3,1
Brandon Pettigrew,DET,TE,25,16,16,111,71,0,0,0,0,0,0,722,4,167.2,0,0,
Mike Sims-Walker,JAX,WR,26,14,13,80,43,0,0,0,0,0,0,562,7,139.2,0,1,1
Danny Amendola,STL,WR,25,16,6,123,85,0,0,0,81,0,7,689,3,180.0,0,2,
Robert Meachem,NOR,WR,26,16,7,66,44,0,0,0,14,0,4,638,5,139.2,0,0,
Cadillac Williams,TAM,RB,28,16,9,64,46,0,0,0,437,2,125,355,1,141.2,0,1,1
Ricky Williams,MIA,RB,33,16,0,30,19,0,0,0,673,2,159,141,1,114.4,0,4,2
Ben Watson,CLE,TE,30,16,16,102,68,0,0,0,-1,0,1,763,3,162.2,0,0,
Devin Hester,CHI,WR,28,16,13,73,40,0,0,0,30,0,7,475,4,132.5,0,0,
Jason Snelling,ATL,RB,27,14,0,51,44,0,0,0,324,2,87,303,3,136.7,0,2,
Rashad Jennings,JAX,RB,25,13,3,35,26,0,0,0,459,4,84,223,0,118.2,0,0,
Kevin Walter,HOU,WR,29,16,16,80,51,0,0,0,0,0,0,621,5,143.1,0,0,
Derek Anderson,ARI,QB,27,12,9,0,0,2065,7,327,25,0,5,0,0,91.1,10,6,2
Justin Forsett,SEA,RB,25,16,5,51,33,0,0,0,523,2,118,252,0,122.5,0,0,
Todd Heap,BAL,TE,30,13,13,64,40,0,0,0,0,0,0,599,5,129.9,0,1,
Colt McCoy,CLE,QB,24,8,8,1,1,1576,6,222,136,1,28,13,0,90.9,9,1,
Vince Young,TEN,QB,27,9,8,0,0,1255,10,156,125,0,25,0,0,88.7,3,6,4
Steve Breaston,ARI,WR,27,13,11,87,47,17,0,2,35,0,3,718,1,135.0,0,0,
Mike Goodson,CAR,RB,23,16,3,57,40,0,0,0,452,3,103,310,0,128.2,0,6,3
Jacob Tamme,IND,TE,25,16,8,93,67,0,0,0,0,0,0,631,4,154.1,0,0,
Mike Williams,SEA,WR,26,14,13,110,65,0,0,0,0,0,1,751,2,152.1,0,0,
Keiland Williams,WAS,RB,24,15,3,58,39,0,0,0,261,3,65,309,2,124.0,0,1,1
Joseph Addai,IND,RB,27,8,7,26,19,0,0,0,495,4,116,124,0,102.9,0,2,1
Eddie Royal,DEN,WR,24,16,10,105,59,0,0,0,61,0,6,627,3,141.8,0,4,2
Darren Sproles,SDG,RB,27,16,3,75,59,0,0,0,267,0,50,520,2,141.7,0,3,4
Donald Brown,IND,RB,23,13,8,28,20,0,0,0,497,2,129,205,0,102.2,0,0,
Josh Morgan,SFO,WR,25,16,11,80,44,0,0,0,17,0,2,698,2,125.5,0,2,1
Kevin Boss,NYG,TE,26,15,13,70,35,0,0,0,0,0,0,531,5,116.1,0,1,1
Maurice Morris,DET,RB,31,14,7,31,25,0,0,0,336,5,90,170,0,105.6,0,1,
Roy Williams,DAL,WR,29,15,9,64,37,0,0,0,0,0,0,530,5,118.0,0,3,2
Lee Evans,BUF,WR,29,13,13,84,37,0,0,0,0,0,0,578,4,116.8,0,2,1
Donald Driver,GNB,WR,35,15,15,85,51,0,0,0,0,0,0,565,4,129.5,0,1,1
Ben Obomanu,SEA,WR,27,15,6,49,30,0,0,0,17,0,2,494,4,109.1,0,0,
Brian Westbrook,SFO,RB,31,14,5,24,16,0,0,0,340,4,77,150,1,95.0,0,0,
Jordan Shipley,CIN,WR,25,15,4,74,52,0,0,0,0,0,0,600,3,130.0,0,0,
Anthony Fasano,MIA,TE,26,15,15,60,39,0,0,0,0,0,0,528,4,115.8,0,0,
Brandon Gibson,STL,WR,23,14,12,91,53,0,0,0,28,0,3,620,2,129.8,0,0,
Jacoby Jones,HOU,WR,26,15,7,78,51,0,0,0,7,0,2,562,3,127.9,0,1,
Troy Smith,SFO,QB,26,6,6,0,0,1176,5,145,121,1,23,0,0,77.1,4,6,
Brandon Tate,NWE,WR,23,16,10,46,24,0,0,0,62,0,5,432,3,101.4,0,1,1
Willis McGahee,BAL,RB,29,15,2,17,14,0,0,0,380,5,100,55,1,89.5,0,2,2
Earl Bennett,CHI,WR,23,14,3,71,46,0,0,0,9,0,2,561,3,121.0,0,1,
Brent Celek,PHI,TE,25,16,15,79,42,0,0,0,0,0,0,511,4,117.1,0,0,
Louis Murphy,OAK,WR,23,14,9,78,41,0,0,0,43,0,1,609,2,116.2,0,2,1
Joel Dreessen,HOU,TE,28,16,10,55,36,0,0,0,0,0,0,518,4,109.8,0,1,1
John Kuhn,GNB,RB,28,16,2,18,15,0,0,0,281,4,84,97,2,88.8,0,1,
Tony Moeaki,KAN,TE,23,15,15,73,47,0,0,0,0,0,0,556,3,120.6,0,0,
Jermaine Gresham,CIN,TE,22,15,10,83,52,0,0,0,0,0,0,471,4,123.1,0,2,1
Steve Smith,NYG,WR,25,9,7,75,48,0,0,0,0,0,0,529,3,118.9,0,0,
David Gettis,CAR,WR,23,15,13,67,37,0,0,0,2,0,3,508,3,106.0,0,0,
Randy Moss,3TM,WR,33,16,11,63,28,0,0,0,0,0,0,393,5,97.3,0,0,
Brian Hartline,MIA,WR,24,12,11,73,43,0,0,0,27,0,2,615,1,111.2,0,1,1
Greg Olsen,CHI,TE,25,16,13,70,41,0,0,0,0,0,0,404,5,109.4,0,2,1
Marcel Reece,OAK,RB,25,16,10,43,25,0,0,0,122,1,30,333,3,92.5,0,1,1
Marion Barber III,DAL,RB,27,13,10,16,11,0,0,1,374,4,113,49,0,77.3,0,0,
Jimmy Graham,NOR,TE,24,15,5,44,31,0,0,0,3,0,1,356,5,96.9,0,1,
Blair White,IND,WR,23,13,4,57,36,0,0,0,0,0,0,355,5,101.5,0,1,
Jason Avant,PHI,WR,27,16,3,76,51,0,0,0,0,0,0,573,1,116.3,0,0,
Visanthe Shiancoe,MIN,TE,30,16,9,79,47,0,0,0,0,0,0,530,2,112.0,0,0,
Jordy Nelson,GNB,WR,25,16,4,64,45,0,0,0,0,0,0,582,2,109.2,0,3,3
Steve Smith Sr.,CAR,WR,31,14,14,100,46,0,0,0,9,0,1,554,2,110.3,0,3,2
Deon Butler,SEA,WR,24,13,8,70,36,0,0,0,6,0,2,385,4,99.1,0,0,
Michael Jenkins,ATL,WR,28,11,9,73,41,0,0,0,0,0,0,505,2,103.5,0,0,
Mohamed Massaquoi,CLE,WR,24,15,14,73,36,29,1,1,-3,0,1,483,2,99.2,0,1,1
Kevin Kolb,PHI,QB,26,7,5,0,0,1197,7,189,65,0,15,0,0,62.4,7,6,3
Derrick Ward,HOU,RB,30,16,0,11,7,0,0,0,315,4,50,61,0,68.6,0,0,
Correll Buckhalter,DEN,RB,32,15,0,39,28,0,0,0,147,2,59,240,2,88.7,0,1,1
Heath Miller,PIT,TE,28,14,14,67,42,0,0,0,0,0,0,512,2,103.2,0,1,1
Owen Daniels,HOU,TE,28,11,10,68,38,0,0,0,0,0,0,471,2,97.1,0,0,
Brandon LaFell,CAR,WR,24,14,2,77,38,0,0,1,60,0,1,468,1,96.8,0,0,
Jeremy Shockey,NOR,TE,30,13,11,59,41,0,0,0,0,0,0,408,3,99.8,0,0,
Chester Taylor,CHI,RB,31,16,1,26,20,0,0,0,267,3,112,139,0,78.6,0,0,
Pierre Thomas,NOR,RB,26,6,3,29,29,0,0,0,269,2,83,201,0,88.0,0,0,
Beanie Wells,ARI,RB,22,13,2,8,5,0,0,0,397,2,116,74,0,64.1,0,1,
Jimmy Clausen,CAR,QB,23,13,10,0,0,1558,3,299,57,0,23,0,0,58.0,9,9,2
T.J. Houshmandzadeh,BAL,WR,33,16,2,57,30,0,0,0,0,0,0,398,3,87.8,0,1,
Patrick Crayton,SDG,WR,31,9,2,42,28,0,0,1,0,0,0,514,1,85.4,0,0,
Drew Stanton,DET,QB,26,6,3,0,0,780,4,119,113,1,18,0,0,56.5,3,3,1
Arrelious Benn,TAM,WR,22,15,9,38,25,0,0,0,35,0,6,395,2,80.0,0,1,
Jerricho Cotchery,NYJ,WR,28,14,5,86,41,0,0,0,-3,0,4,433,2,96.0,0,0,
Brad Smith,NYJ,WR,27,16,2,7,4,6,1,3,299,1,38,44,0,58.5,0,1,1
Roscoe Parrish,BUF,WR,28,8,6,53,33,0,0,0,23,0,3,400,2,87.3,0,1,
Bo Scaife,TEN,TE,29,14,13,52,36,0,0,0,0,0,0,318,4,89.8,0,2,1
Dallas Clark,IND,TE,31,6,6,53,37,0,0,0,0,0,0,347,3,89.7,0,0,
Devery Henderson,NOR,WR,28,16,11,59,34,0,0,0,8,0,3,464,1,87.2,0,0,
David Nelson,BUF,TE,24,15,3,47,31,0,0,0,0,0,0,353,3,84.3,0,0,
Rex Grossman,WAS,QB,30,4,3,0,0,884,7,133,6,0,3,0,0,52.0,4,4,4
Javarris James,IND,RB,23,10,0,11,9,0,0,0,112,6,46,63,0,60.5,0,1,1
Tashard Choice,DAL,RB,26,16,0,22,17,0,0,0,243,3,66,109,0,68.2,0,1,1
Daniel Fells,STL,TE,27,16,6,65,41,0,0,0,0,0,0,391,2,92.1,0,0,
Matthew Stafford,DET,QB,22,3,3,0,0,535,6,96,11,1,4,0,0,50.5,1,2,1
Fred Davis,WAS,TE,24,16,9,30,21,0,0,0,0,0,0,316,3,70.6,0,0,
Bruce Gradkowski,OAK,QB,27,6,4,0,0,1059,5,157,41,0,12,0,0,50.5,7,3,1
C.J. Spiller,BUF,RB,23,14,1,30,24,0,0,0,283,0,74,157,1,74.0,0,5,3
Toby Gerhart,MIN,RB,23,15,1,29,21,0,0,0,322,1,81,167,0,69.9,0,3,3
Brian Robiskie,CLE,WR,23,14,11,49,29,0,0,0,0,0,0,310,3,78.0,0,0,
Emmanuel Sanders,PIT,WR,23,13,1,50,28,0,0,0,0,0,0,376,2,75.6,0,2,1
Jerome Harrison,2TM,RB,27,12,2,13,12,0,0,0,330,1,71,85,0,57.5,0,2,1
DeAngelo Williams,CAR,RB,27,6,6,13,11,0,0,0,361,1,87,61,0,57.2,0,1,1
Darrius Heyward-Bey,OAK,WR,23,15,14,65,26,0,0,0,48,0,4,366,1,71.4,0,1,1
Laurent Robinson,STL,WR,25,14,11,75,34,0,0,0,-14,0,2,344,2,79.0,0,0,
Vincent Jackson,SDG,WR,27,5,5,24,14,0,0,0,14,0,1,248,3,58.2,0,0,
Isaac Redman,PIT,RB,26,16,0,10,9,0,0,0,247,0,52,72,2,52.9,0,1,
Mark Clayton,STL,WR,28,5,5,42,23,0,0,0,6,0,1,306,2,66.2,0,0,
Legedu Naanee,SDG,WR,27,10,9,46,23,0,0,0,-2,0,3,371,1,65.9,0,1,1
Reggie Bush,NOR,RB,25,8,6,42,34,0,0,0,150,0,36,208,1,75.8,0,2,
Jared Cook,TEN,TE,23,16,1,45,29,0,0,0,0,0,0,361,1,71.1,0,0,
Tony Scheffler,DET,TE,27,15,4,72,45,0,0,0,0,0,0,378,1,86.8,0,1,1
Jerome Simpson,CIN,WR,24,5,3,25,20,0,0,0,2,0,1,277,3,61.9,0,2,2
Seneca Wallace,CLE,QB,30,8,4,1,1,694,4,101,9,0,7,9,0,42.6,2,1,
Josh Cribbs,CLE,WR,27,15,5,39,23,19,0,3,66,0,20,292,1,63.6,0,7,1
Andre Roberts,ARI,WR,22,15,2,49,24,0,0,0,0,0,0,307,2,64.7,0,2,1
Micheal Spurlock,TAM,WR,27,16,1,33,17,0,0,3,0,0,0,250,2,58.0,0,2,1
Clinton Portis,WAS,RB,29,5,5,9,5,0,0,0,227,2,54,55,0,45.2,0,0,
Sidney Rice,MIN,WR,24,6,5,42,17,0,0,0,0,0,0,280,2,57.0,0,0,
Javon Ringer,TEN,RB,23,16,0,8,7,0,0,0,239,2,51,44,0,47.3,0,0,
Bernard Scott,CIN,RB,26,16,0,13,11,0,0,0,299,1,61,60,0,50.9,0,1,1
LaRod Stephens-Howling,ARI,RB,23,13,2,23,16,0,0,0,113,1,23,111,0,56.4,0,0,
Leon Washington,SEA,RB,28,16,0,13,9,0,0,0,100,1,27,79,0,48.9,0,3,1
Ladell Betts,NOR,RB,31,8,1,31,23,0,0,0,150,2,45,141,0,62.1,0,1,1
Seyi Ajirotutu,SDG,WR,23,10,0,23,13,0,0,0,0,0,0,262,2,51.2,0,0,
John Carlson,SEA,TE,26,15,13,58,31,0,0,0,0,0,0,318,1,68.8,0,0,
Dexter McCluster,KAN,WR,21,11,7,39,21,0,0,0,71,0,18,209,1,59.0,0,2,1
Chansi Stuckey,CLE,WR,27,16,5,63,40,0,0,0,9,1,3,346,0,77.5,0,3,2
Danario Alexander,STL,WR,24,8,2,37,20,0,0,0,0,0,0,306,1,56.6,0,0,
Anthony Dixon,SFO,RB,23,16,0,5,5,0,0,0,237,2,70,11,0,41.8,0,0,
Earnest Graham,TAM,RB,30,12,7,19,16,2,1,1,99,1,20,130,1,53.0,0,1,1
Joe Webb,MIN,WR,24,5,2,0,0,477,0,89,120,2,18,0,0,37.1,3,1,
Charlie Whitehurst,SEA,QB,28,6,2,0,0,507,2,99,43,1,20,0,0,36.6,3,2,
Early Doucet,ARI,WR,25,10,5,59,26,0,0,0,5,0,2,291,1,61.6,0,0,
Jermichael Finley,GNB,TE,23,5,5,26,21,0,0,0,0,0,0,301,1,57.1,0,0,
Evan Moore,CLE,TE,25,12,4,26,16,0,0,0,0,0,0,322,1,52.2,0,1,1
Demaryius Thomas,DEN,WR,23,10,2,39,22,0,0,0,1,0,2,283,2,58.4,0,3,2
Kenneth Darby,STL,RB,28,14,0,13,10,0,0,0,107,2,34,61,1,44.8,0,0,
Harry Douglas,ATL,WR,26,16,4,53,22,0,0,0,-5,0,2,294,1,56.9,0,0,
Brian Finneran,ATL,WR,34,16,1,32,19,0,0,0,0,0,0,166,3,53.6,0,0,
Antwaan Randle El,PIT,WR,31,16,0,39,22,42,2,2,2,0,1,253,0,57.2,0,2,
Brandon Stokley,SEA,WR,34,11,0,43,31,0,0,0,0,0,0,354,0,66.4,0,0,
Randy McMichael,SDG,TE,31,16,11,27,20,0,0,0,0,0,0,221,2,54.1,0,0,
Mewelde Moore,PIT,RB,28,15,0,31,26,0,0,0,99,0,33,205,0,60.4,0,0,
David Thomas,NOR,TE,27,13,8,46,30,0,0,0,0,0,0,219,2,63.9,0,0,
Justin Gage,TEN,WR,29,11,4,43,20,0,0,0,0,0,0,266,1,52.6,0,0,
Michael Hoomanawanui,STL,TE,22,8,3,22,13,0,0,0,0,0,0,146,3,45.6,0,0,
Matt Moore,CAR,QB,26,6,5,0,0,857,5,143,25,0,5,0,0,32.8,10,4,2
